"combotype","category_en"
"1001","Café - bar"
"1002","Café - bar"
"1003","Café - bar"
"1008","Café - bar"
"1007","Café - bar"
"2001","Shop"
"2002","Shop"
"2005","Shop"
"3001","Sport"
"3002","Sport"
"3003","Sport"
"4001","Sightseeing"
"4002","Sightseeing"
"4003","Sightseeing"
"4004","Sightseeing"
"4005","Sightseeing"
"4006","Sightseeing"
"4007","Sightseeing"
"5001","ATM"
"5002","ATM"
"5004","ATM"
"5005","ATM"
"5009","ATM"
"5010","ATM"
"5023","ATM"
"5025","ATM"
"5028","ATM"
"6001","Car"
"6002","Car"
"6003","Car"
"6004","Car"
"6005","Car"
"6006","Car"
"7001","Industrial Parks"
"8002","Food"
"8004","Food"
"8005","Food"
"8006","Food"
"8007","Food"
"8008","Food"
"8009","Food"
"8010","Food"
"8011","Food"
"8012","Food"
"8013","Food"
"8014","Food"
"8015","Food"
"8016","Food"
"8017","Food"
"8018","Food"
"8019","Food"
"8020","Food"
"8021","Food"
"8022","Food"
"8023","Food"
"8024","Food"
"8025","Food"
"8026","Food"
"8027","Food"
"8028","Food"
"8029","Food"
"8030","Food"
"8031","Food"
"8032","Food"
"8033","Food"
"8034","Food"
"8035","Food"
"8036","Food"
"8037","Food"
"8038","Food"
"8039","Food"
"8040","Food"
"8041","Food"
"8042","Food"
"8043","Food"
"8044","Food"
"1009","Café – bar"
"9001","Public Services"
"9002","Public Services"
"9003","Public Services"
"9004","Public Services"
"9005","Public Services"
"9006","Public Services"
"9007","Public Services"
"9008","Public Services"
"9009","Public Services"
"9010","Public Services"
"9011","Public Services"
"9012","Public Services"
"9013","Public Services"
"9014","Public Services"
"9015","Public Services"
"9016","Public Services"
"10001","Public Spaces"
"10002","Public Spaces"
"11001","Accommodation"
"11002","Accommodation"
"11003","Accommodation"
"11004","Accommodation"
"11005","Accommodation"
"11006","Accommodation"
"11007","Accommodation"
"11008","Accommodation"
"11009","Accommodation"
"12001","Exhibition Centers"
"13001","Education"
"13002","Education"
"13003","Education"
"13004","Education"
"13005","Education"
"13006","Education"
"13007","Education"
"14001","Religion"
"14002","Religion"
"14003","Religion"
"15001","Casino"
"16001","Transport"
"16002","Transport"
"16003","Transport"
"16004","Transport"
"16005","Transport"
"16006","Transport"
"16007","Transport"
"16008","Transport"
"16009","Transport"
"16011","Transport"
"16012","Transport"
"16013","Transport"
"17001","Culture – Entertainment"
"17002","Culture – Entertainment"
"17003","Culture – Entertainment"
"17004","Culture – Entertainment"
"17005","Culture – Entertainment"
"17006","Culture – Entertainment"
"17007","Culture – Entertainment"
"17008","Culture – Entertainment"
"17009","Culture – Entertainment"
"17010","Culture – Entertainment"
"18001","Gas Stations"
"18002","Gas Stations"
"18003","Gas Stations"
"18004","Gas Stations"
"18005","Gas Stations"
"18006","Gas Stations"
"18007","Gas Stations"
"18008","Gas Stations"
"18009","Gas Stations"
"18010","Gas Stations"
"18011","Gas Stations"
"18012","Gas Stations"
"18013","Gas Stations"
"18014","Gas Stations"
"18015","Gas Stations"
"18016","Gas Stations"
"18017","Gas Stations"
"18018","Gas Stations"
"18019","Gas Stations"
"18025","Gas Stations"
"18026","Gas Stations"
"19001","Conference Centers"
"20001","Border Stations"
"21001","Public Security"
"21002","Public Security"
"21003","Public Security"
"22001","Tourism"
"22003","Tourism"
"22004","Tourism"
"22005","Tourism"
"22006","Tourism"
"22007","Tourism"
"22008","Tourism"
"23001","Banks"
"23002","Banks"
"23004","Banks"
"23005","Banks"
"23009","Banks"
"23010","Banks"
"23023","Banks"
"23025","Banks"
"23028","Banks"
"23029","Banks"
"24001","Health"
"24002","Health"
"24003","Health"
"24004","Health"
"24005","Health"
"24006","Health"
"24007","Health"
"24008","Health"
"24009","Health"
"24010","Health"
"24011","Health"
"25001","Natural Attractions"
"25002","Natural Attractions"
"25003","Natural Attractions"
"25004","Natural Attractions"
"25005","Natural Attractions"
"27005","Super Market"
"27006","Super Market"
"27007","Super Market"
"27008","Super Market"
"27010","Super Market"
"27011","Super Market"
"27012","Super Market"
"27014","Super Market"
"27015","Super Market"
"27016","Super Market"
"27018","Super Market"
"27019","Super Market"
"27020","Super Market"
"27021","Super Market"
"27023","Super Market"
"28002","Chain stores"
"28007","Chain stores"
"28008","Chain stores"
"28009","Chain stores"
"28011","Chain stores"
"28014","Chain stores"
"28015","Chain stores"
"28016","Chain stores"
"28018","Chain stores"
"28019","Chain stores"
"28020","Chain stores"
"28022","Chain stores"
"28023","Chain stores"
"28026","Chain stores"
"28028","Chain stores"
"28031","Chain stores"
"28033","Chain stores"
"28041","Chain stores"
"28042","Chain stores"
"28044","Chain stores"
"28052","Chain stores"
"34001","Religion"
"34002","Natural Attractions"
"34003","Natural Attractions"
"34004","Natural Attractions"
"34005","Natural Attractions"
"35000","Chain stores"